#,"Title
","Slug
","Section
","Type
",Tagline,"Fulltext
","Содержание
",Аннотация,Миниатюра,Импортирует
1,Наша работа,work,Наша работа,section archive,,-,"Обложка, плитка видов работ, иконки,
последние новости анонсы публикации",,,-
2,Мероприятия,dront-events,Наша работа,landing,,-,Анонсы будущие / прошедшие,,,-
3,Экоправо,dront-ecopravo,Наша работа,landing,,ecopravo.txt,,Защищаем,dront-ecopravo-thumbnail.jpg,Готово (Лев)
4,Экопросвещение,dront-education,Наша работа,landing,,education.txt,,Рассказываем,,Готово (Лев)
5,Исследования,dront-researches,Наша работа,landing,,researches.txt,,Изучаем,dront-researches-thumbnail.jpg,Готово (Лев)
6,Активизм,dront-activist,Наша работа,landing,,activist.txt,,Изменяем,dront-activist-thumbnail.jpg,Готово (Лев)
7,Публикации,dront-publications,Наша работа,landing,,publications.txt,,,,-
8,Экопроблемы,ecoproblems,Экопроблемы,section archive,,-,"Обложка, плитка проблем, иконки, последние новости, анонсы, публикации, карта выделена или может быть она сразу тут",,,-
9,Карта экопомощи,dront-ecomap,Экопроблемы,landing,,dront-ecomap.txt,"Карта, сервис ""сообщить о проблеме"".",,,-
10,Чебоксарская ГЭС,dront-chebpotop,Экопроблемы,landing,,chebpotop.txt,,,,Готово
11,Нижегородская АЭС,dront-nizhaes,Экопроблемы,landing,,nizhaes.txt,,,,Готово
12,Охрана редких видов,dront-rares,Экопроблемы,landing,,rares.txt,,Соблюдаем природный баланс,dront-rares-thumbnail.jpg,Готово (Лев)
13,ООПТ,dront-oopt,Экопроблемы,landing,,oopt.txt,"Текст с кратким описанием, карта с google maps.",Боремся за статус,dront-oopt-thumbnail.jpg,Готово (Лев)
14,Птицы,dront-birds,Экопроблемы,landing,,birds.txt,,Спасаем прекрасных хрупких птиц Нижегородской области,birds-main.jpg,Готово
15,Город,dront-urban,Экопроблемы,landing,,urban.txt,,Строим экодома,urban-001.jpg,Денис Ч.
16,Проблемные территории,dront-locals,Экопроблемы,landing,,locals.txt,,Восстанавливаем экосистему,ecosystem-002.jpg,Денис Ч.
17,Здоровье,dront-health,Экопроблемы,landing,,health.txt,,"Беспокоимся не только о природе, но и о себе",health-001.jpg,Денис Ч.
18,Ресурсы,dront-resources,Экопроблемы,landing,,resources.txt,,Потребляем разумно,save-energy-002.jpg,Денис Ч.
19,Отходы,dront-garbage,Экопроблемы,landing,,garbage.txt,,Собираем мусор правильно,garbage-separat-001.jpg,Денис Ч.
20,Подразделения,departments,Подразделения,section archive,,-,,,,-
21,"Ежемесячная газета ""Берегиня""",dront-bereginya,Подразделения,landing,,bereginya.txt,,,,-
22,Центр природосберегающих технологий,dront-cpst,Подразделения,landing,,cpst.txt,,Поддерживаем экологические и энергосберегающие проекты,support-eco-project-001.jpg,Денис Ч.
23,Нижегородское отделение Союза охраны птиц России,dront-sopr,Подразделения,landing,,sopr.txt,,Заботимся о пернатых,sopr-birds.jpg,(готово)Серхио
24,Орнитологическая лаборатория,dront-ornotologlab,Подразделения,landing,,ornotologlab.txt,,Защищаем птиц,sopr-ornotologlab.jpg,(готово)Серхио
25,Нижегородский эколого-правовой центр,dront-lawcenter,Подразделения,landing,,lawcenter.txt,,Стоим на защите ваших экологических прав,ecolawcenter.jpg,(готово)Серхио
26,"Информационно-консультационный центр ""Стрикс""",dront-striks,Подразделения,landing,,striks.txt,,Разбираемся вместе,ecostriks.jpg,(готово)Серхио
27,Нижегородское общество охраны амфибий и рептилий,dront-reptiles,Подразделения,landing,,reptiles.txt,,Охраняем змей и людей друг от друга,ecoreptiles.jpg,(готово)Серхио
28,"Научно-просветительская организация ""Джунгли""",dront-jungle,Подразделения,landing,,jungle.txt,,Учим школьников бережно относиться к природе,ecojungle.jpg,(готово)Серхио
29,Нижегородский фольклорный клуб,dront-folks,Подразделения,landing,,folks.txt,,,,Анна
30,"Эколого-просветительский центр ""Оберег""",dront-obereg,Подразделения,landing,,obereg.txt,,,,Анна
31,"Фотовидеостудия ""Реальный мир""",dront-realworld,Подразделения,landing,,realworld.txt,,,,Анна
32,"Движение ""Чистильщики рек""",dront-rivercleaners,Подразделения,landing,,rivercleaners.txt,,,,Анна
33,Об экоцентре,about,О нас,section archive,,about.txt,,,,
34,Наши люди,team,О нас,page,,-,,,,
35,Отчеты,reports,О нас,page,,-,,,,
36,Контакты,contacts,О нас,page,,contacts.txt,,,,
37,Как помочь,supportus,Как помочь,section archive,,how-to-help.txt,,,,
38,Сделать пожертвование,donate,Как помочь,leyka_campaign,,-,,,,
39,Стань волонтером,volunteer,Как помочь,page,,volunteer.txt,,,,
40,Помощь компаний,corporate,Как помочь,page,,corporate.txt,,,,
