Название,Кр. описание,Описание,Адрес,Шир.,Долг.,ID на старом сайте
Дзержинский отдел инспекции административно-технического надзора Нижегородской области," Адрес: 606000, Нижегородская обл.  г. Дзержинск, пр. Дзержинского, д. 12","Адрес: 606000, Нижегородская обл. г. Дзержинск, пр. Дзержинского, д. 12Тел.: +7 (831-32) 6-74-72Факс: (831-32) 6-74-72",Дзержинский отдел инспекции административно-технического надзора Нижегородской области,56.241459,43.469944,1578
"Свалка в садах ""Родник"""," За 7 лет гора из строительного и бытового мусора достигла высоты 10 метров, завалила половину садовых участков и все родники в овраге. ","На территории садового товарищества ""Родник"" в 2007 году предприниматели выкупили часть участков и началивозить туда строительный и бытовой мусор. По обращениям граждан Административно - техническая инспекция неоднократно налагала на нарушителей штрафы, но безрезультатно. Сейчас порядка половины садовых участков завалено мусором, высота свалки достигает 10 метров, в овраге были завалены все родники, а сточные воды затопили еще около 40  участков. Ежедневно на территорию ""Родника"" ввозилось около 40 КАМазов с мусором. 17 сентября стало известно, что было возбуждено уголовное дело по факту нанесения ущебра, что приостановило ввоз новых отходов, но отходы, уже накопившиеся, создали ситуацию экологического бедствия","Свалка в садах ""Родник""",56.307971,44.009113,1094
"Свалка в садах ""Малиновая гряда"""," Со стоительной площадки жилого комплекса ""Ойкумена"" свозят строительный грунт и сваливают в овраг Малиновой гряды","Рядом с ООПТ ""Малиновая гряда"" , в овраге находятся садовые товарищества ""Поляна - 2"" и ""Садовод"", которые засыпают строительным грунтом с площадки стоящегося жилого комплекса ""Ойкумена"". Глубина оврага достигала 10 метров, сейчас он засыпан практически полностью. От сбросов пострадало 5 садовых участков,  на одном из участков был полностью разрушен дом. ","Свалка в садах ""Малиновая гряда""",56.242509,43.967062,1095
Свалка снега, свалка снега на улице Космической,,Свалка снега,56.228125,43.819514,1355
"шламонакопитиель ""Белое море"""," Шламонакопитель ""Белое море""","«Белое море» - крупнейший в России и Европе накопитель жидких отходов производства окиси этилена от процесса очистки рассола хлористого алюминия, ацетилена, трихлорэтилена, существующий с 1973 года и находящийся в Дзержинске. В настоящее время шламонакопитель заполнен на 97%, причем 93% объема его отходов было сформировано в советское время.На  площади 92 гектара по разным оценкам хранится от двух до семи миллионов тонн отходов, в том числе и химических, а кнцентрация фенолов, ртути, пестицидов и других опасных химических соединений многократно превышают ПДК в почве, воде и продуктах питания, которые выращивают местных жители.В данный момент рассматривается проект ликвидации шламонакопителя, хотя уже в 2011 году президент России дал поручения правительству РФ совместно с правительством Нижегородской области подготовить проект ликвидации объекта.","шламонакопитиель ""Белое море""",56.2275,43.5816,1602
"шламоотвал ""Черная дыра"""," Шламонакопитель ""Черная дыра"" - это незаконная свалка промышленых отходов ОАО ""Оргстекло""","""Черной дырой"" в народе называется незаконная свалка промышленых отходов ОАО ""Оргстекло"" под Дзержинском, этот шламонакопитель назван книой рекордов Гиннеса самым грязным водоемом на планете. По данным разных источников, здесь могут находиться от 60 до 250 тыс. кубометров промышленных отходов, которые незаконно складировались в этом месте несколько десятков лет.Визита Д. Медведев в 2012 году дал толчок к решению проблемы, из бюджета были выделены деньги и заказаны научно-исследовательские работы по определению примерного состава и объема отходов.Предполагается, что ликвидация объекта будет проводиться в шесть этапов: подготовка паспортов отходов и необходимой документации  — экологической, рабочей и технической, затем получение необходимых государственных экспертиз и только после этого начнется непосредственно ликвидация. Подрядчик поставит, наладит и запустит технологическое оборудование, рекультивирует все отходы, находящиеся в озере, демонтирует и утилизирует оборудование и в финале рекультивирует площадку.Однако до сих пор не раскрыта информация какие именно отходы захоронены в шламонакопителе и каким образом будет проведена утилизация. На данный момент заявлена термическая утилизация, но в данном случае сжигание недопустимо из-за присутсия хлороорганических продуктов.","шламоотвал ""Черная дыра""",56.269,43.6705,1603
"Полигон ""Игумново"""," Полигон ТБО ""Игумново""","Игумновский полигон (межмуниципальный полигон ТБО ""Игумново"") являлся крупнейшим объектом размещения отходов в Нижегородской области и был признан самой крупной свалкой в Европе.   Полигон эксплуатировался с 1983 года по 2012 год, площадь складирования отходов составляла более  41 га, за период около 30 лет было складировано опорядка 4,55 млн. м3 отходов, причем  на протяжении длительного времени полигон эксплуатировался без соблюдения санитарных требований, постоянно горел и отравлял фильтратом грунтовые воды. В 2012 году полигон был закрыт для проведения рекультивации за счет бюджета Нижегородской области. Часть работ была проведена, однако потом проводилась корректировка проектной документации «Рекультивация полигона ТБО «Игумново» последующее проведение аукциона, соотвественно, сейчас работы не ведутся.Завершение работ по рекультивации полигона «Игумново» планируется до конца 2015 года","Полигон ""Игумново""",56.306288,43.674984,1608
"ФГБУ «Государственный заповедник ""Керженский"", Экоцентр в г. Нижний Новгород"," Адрес: 603001, Нижегородская обл., г. Нижний Новгород, ул. Рождественская, д. 23, к. 6, Заповедник ""Керженский""","Адрес: 603001, Нижегородская обл., г. Нижний Новгород, ул. Рождественская, д. 23, к. 6, Заповедник ""Керженский""Сайт: http://www.kerzhenskiy.ru/E-mail: kerzhenskiy@kerzhenskiy.ruТел.: +7 (831) 431-30-56Факс: +7 (831) 431-31-91","ФГБУ «Государственный заповедник ""Керженский"", Экоцентр в г. Нижний Новгород",56.329657,43.992826,975
"ФГБУ «Государственный заповедник ""Керженский"", Экоцентр в пос. Рустай"," Адрес: 606491, Нижегородская обл., Борский р-он, пос. Рустай, Заповедник ""Керженский"".","Адрес: 606491, Нижегородская обл., Борский р-он, пос. Рустай, Заповедник ""Керженский"".Статус: федеральныйОрганизован: Постановлением Правительства РФ № 360 от 23.04.1993 года о создании в Нижегородской области государственного природного заповедника «Керженский». Действующее в настоящее время Положение о заповеднике утверждено Министерством природных ресурсов России 17.03.2005 года.Местоположение: Борский и Семеновский районы, от г. Бор к северо-востоку 48 км, от г. Семенов к юго-востоку 32 км, при пос. Рустай.Площадь: 46786 га (в том числе 37103 га в Борском районе, 9683 га в Семеновском районе), площадь охранной зоны 10660 га (полностью на территории Воскресенского района).Назначение: сохранение и восстановление природных комплексов Нижегородского Заволжья.Режим охраны заповедный: территория полностью изъята из хозяйственного использования, ее посещение допускается только по специальным разрешениям. Ведется изучение естественных процессов, протекающих в природе без вмешательства человека. Вокруг пос. Рустай выделена зона сотрудничества (15829 га), где допускается строго регламентированная деятельность, обеспечивающая жизненные потребности жителей поселка (выпас скота, сенокошение, сбор грибов и ягод).Пользователи, владельцы и собственники земель: ФГУ Государственный природный биосферный заповедник «Керженский».Единственный на территории области заповедник расположен в среднем течении р. Керженец, в его левобережной части. Идея создания здесь заповедника родилась еще в конце 1920-х гг., но была осуществлена лишь в 1993 г. Для местности характерны мягкие, плавные очертания рельефа. Поверхность в целом – плоская низина, с расположенными в ней песчаными дюнами, буграми и грядами. Встречаются древние котловины, ложбины и впадины. Гидрологическую сеть образуют реки, озера и болота. По р. Керженец проходит юго-западная граница заповедника. Все остальные реки заповедника относятся к бассейну Керженца. Наиболее крупные из них – Вишня, Большая и Малая Черная, Пугай. Длина остальных рек меньше 10 км: Ухмантей, Рустайчик, Песчанка, Ржавка, Чернушка, Бугровка, Пугайчик. Весь водосбор реки Черной с впадающими притоками расположен на территории заповедника. Озера представлены в основном старицами и располагаются в поймах рек. В охранной зоне заповедника на водоразделе р. Керженец и р. Люнда расположено озеро Черное. Особенности рельефа способствовали образованию многочисленных сфагновых болот. Самые большие из них – Вишенское и Масловское. Территории заповедника и его охранной зоны входят в состав Камско-Бакалдинской группы болот – водно-болотного угодья международного значения в соответствии с Рамсарской конвенцией. Это крупнейший болотно-торфяной массив бассейна Волги. В заповеднике представлен широкий спектрприродных комплексов, характерных для севера подзоны хвойно-широколиственных лесов. Здесь есть как малонарушенные и хорошо сохранившиеся участки старовозрастных лесов, озера, болота и долины рек, так и природные комплексы с разной степенью нарушенности: старые вырубки, бывшие поселки, территории, пройденные пожарами. В условиях заповедного режима природа быстро залечивает раны, нанесенные ей человеком. В заповеднике преобладают сосновые леса. Высоковозрастные боры сохранились небольшими фрагментами в долине Керженца и на гривах среди болот. Молодые и средневозрастные сосняки, восстанавливающиеся после рубок и пожаров, покрывают большую часть территории заповедника. Старые еловые и елово-широколиственные леса сохранились в основном в северо-западной части заповедника, в долине р. Керженец. В заповеднике высоко разнообразие видов живых организмов: здесь отмечено 369 видов грибов, 206 видов лишайников, 812 видов водорослей, 184 вида мхов, 629 видов сосудистых растений, 1295 видов членистоногих, 102 вида других беспозвоночных, 21 вид рыб, 6 видов земноводных, 6 видов пресмыкающихся, 153 вида птиц и 46 вида млекопитающих. Каждый год сотрудники заповедника в ходе исследований пополняют списки видов его обитателей. В заповеднике охраняются занесенные в Красную книгу России выхухоль, скопа, беркут, орлан-белохвост, змееяд, кулик-сорока, большой кроншнеп, филин, серый сорокопут, аполлон, мнемозина, восковик-отшельник, оруссус, пыльцеголовник красный, неоттианте клобучковая, лобария легочная, менегация пробуравленная. Выхухоль, которая до 1940-х гг. была обычна в долине р. Керженец, к моменту создания заповедника здесь исчезла. Благодаря усилиям сотрудников этот вид удалось вернуть на территорию заповедника. Начаты работы по восстановлению исчезнувшей в Нижегородском Заволжье среднерусской белой куропатки (Красная книга России). Видов живых организмов, занесенных только в Красную книгу Нижегородской области, в заповеднике еще больше: млекопитающих – 2, птиц – 13, рептилий – 2, беспозвоночных – 15, высших растений – 22, лишайников – 13, грибов – 9. Сотрудники заповедника решают три основных задачи – охрана территории, контроль за соблюдением на ней требований природоохранного законодательства; проведение научных исследований; экологическое просвещение населения. В 2002 году заповедник получил международное признание, инициировав создание биосферного резервата «Нижегородское Заволжье» и став его функциональным центром. Коллектив заповедника участвует в изучении и сохранении не только памятника природы федерального значения «Озеро Светлояр», других ООПТ Воскресенского и Варнавинского районов, вошедших в состав биосферного резервата, но всей региональной сети заказников и памятников природы.Адрес: 606491, Нижегородская обл., Борский р-он, пос. Рустай, Заповедник ""Керженский"".Сайт: http://www.kerzhenskiy.ru/E-mail: kerzhenskiy@kerzhenskiy.ruТел.: +7 (831-59) 3-92-32 (научный отдел), +7 (831-59) 3-91-96 (охрана), +7 (831-59) 3-92-30 (бухгалтерия, экоцентр)","ФГБУ «Государственный заповедник ""Керженский"", Экоцентр в пос. Рустай",56.496592,45.069744,976
"Памятник природы ""Гнилицкие дачи""", ,"Организован: решением исполнительного комитета Горьковского областного Совета народных депутатов от 20 октября 1965 года № 915. Паспорт утвержден распоряжением Правительства Нижегородской области от 23 декабря 2003 года № 802-р.Местоположение: юго-западная окраина Автозаводского района, при п. Гнилицы с запада; Автозаводскоелесничество, кв. 21, 22, 23, 25.Площадь памятника природы: 456,0 гаНазначение: рекреационное; охрана генофонда (редкие виды животных); охрана ценофонда (экосистемы поймы); водоохранное.Пользователи, владельцы и собственники земель: Нижегородское межрайонное лесничество.Гнилицкие дачи – большой массив естественной растительности левобережной поймы р. Оки, сохранившийся в крупном промышленном городе.Здесь гривы чередуются с понижениями, много проток, стариц, озер и заболоченных низин. Половину территории занимают заливные луга, чуть меньше половины – средне- и высоковозрастные пойменные дубравы. На возвышенных гривах есть участки с культурами сосны, встречаются небольшие по площади вторичные березняки и осинники, понижения заняты ивняками.Леса и луга массива выполняют разнообразные функции по поддержанию экологического баланса. Водоемы служат местом колониального гнездования (ключевым местообитанием) черных и белокрылых крачек, занесенных в Красную книгу Нижегородской области. Здесь отмеченабольшая пяденица болотная (голубичная) – бабочка, занесенная в Красную книгу Нижегородской области.","Памятник природы ""Гнилицкие дачи""",56.2015,43.742,1051
