ФИО 	Должность	Био 	фото	Подразделение	Направление	Проблема
Александрова Виктория Геннадьевна	главный бухгалтер экоцентра "Дронт"			none	none	none
Бакка Сергей Витальевич	председатель Фонда Нижегородского отделения СОПР			sopr	education, researches	birds
Ближенская Альбина Леонидовна	главный редактор газеты "Берегиня"			bereginya	 publications	none
Карякин Игорь Вячеславович	координатор полевых проектов Фонда Нижегородского отделения СОПР			sopr	education, researches	birds,rares
Каюмов Асхат Абдурахманович	Председатель Совета НОД экологический центр "Дронт"	Образование высшее, по специальности биолог. В 1978 году после окончания средней школы поступил на биологический факультет Нижегородского государственного университета, который закончил в 1983 году. Специализировался по кафедре физиология и биохимия человека и животных. После окончания университета работал учителем биологии в школе, старшим инженером-гидрохимиком Горьковского рыбокомбината, старшим инструктором областного совета Всероссийского общества охраны природы. В декабре 1989 года создал и возглавил областной экологический центр «Дронт». В апреле 1993 года по предложению Губернатора Нижегородской области Б.Е.Немцова организовал и возглавил департамент по охране природы и управлению природопользованием в администрации области. С апреля 1998 года уволился из администрации области и руководит экологическим центром «Дронт».  Экологическими проблемами Нижегородской области занимается с 1980 года, регулярно принимает участие в биологических экспедициях по Нижегородской области.  Автор свыше 400 статей в местных и центральных газетах и журналах, имеет десятки публикаций и брошюр, посвященных различным экологическим проблемам. Является учредителем экологической газеты «зеленых» Поволжья — «Берегиня».  Каюмов А. А. является участником работ по созданию в Нижегородской области системы ООПТ. Данной работой занимается с 1980 года. Является соавтором Программы развития ООПТ Нижегородской области.  Является одним из организаторов общественного экологического движения Поволжья «Поможем реке».  С 1980 года член Дружины охраны природы Горьковского госуниверситета, с 1988 по 1992 годы — член Совета Движения Дружин по охране природы, с 1989 по 1992 год — сопредседатель Совета Движения ДОП.  С 1987 года — член Социально-экологического Союза, с 1991 года — сопредседатель Совета оперативных действий Российского Социально-экологического Союза, с 2008 по 2010 годы — сопредседатель Российского Социально-экологического Союза, с 1993 года по 2003 год, с октября 2010 года — член Совета Международного Социально-экологического Союза. С 1992 года по 2002 год — председатель общественного совета по экологическим проблемам при Губернаторе Нижегородской области, с июля 2007 года — сопредседатель общественного совета по экологическим проблемам при Губернаторе Нижегородской области.  1996-1997 год — член Экспертного Совета Программы публикаций, осуществляемой ИСАР-Москва.  С 1997 по 1999 год — эксперт проекта РОЛЛ. В 1997, 2000-2001 годах — член Экспертного Совета Программы грантов «Местные инициативы», проводимой в рамках «Байкальского регионального компонента» проекта Международного Банка Реконструкции и Развития «Сохранение биоразнообразия» на средства Глобального Экологического Фонда.  С октября 1998 года по январь 2006 года — член Совета экологической безопасности Нижегородской области.  С 1999 года по 2006 год — член Координационного Совета проекта РОЛЛ.  С декабря 2006 года — член общественного совета при Уполномоченном по правам человека в Нижегородской области.  В январе 1984 года обучался на курсах повышения квалификации по экономике рыбного хозяйства внутренних водоемов и современному рыбоводству. В сентябре 1999 года прошел обучение на семинаре-тренинге «Связи с общественностью как инструмент установления социального партнерства», организованном Институтом содействия общественным инициативам «ИСАР». В марте 2000 года участвовал в качестве наблюдателя от НПО в межгосударственной конференции «Сохранение биоразнообразия в Европе» (Латвия, г.Рига, 20-23.03.2000). В ноябре-декабре 2000 года прослушал учебный курс «Экономические механизмы охраны природы и использования биоресурсов» на семинаре Центра подготовки и реализации международных проектов технического содействия и Проекта ГЭФ «Сохранение биоразнообразия». 2002 год — выпускник программы «Открытый мир» ( «Open World»). В октябре 2003 — марте 2004 прошел обучение на курсах «Интернет—технологии для экологов» в рамках программы «Обучение и доступ к Интернет» Управления Образовательных и Культурных Программ Государственого Департамента США.  Постановлением коллегии Министерства природных ресурсов Российской Федерации от 17 ноября 2003 года № 2787-к присвоено звание «Почетный работник охраны природы» с вручением нагрудного знака.	kaumov-askhat.jpg	none	none	cheboksarges
Киселева Надежда Юрьевна	зам. председателя Фонда Нижегородского отделения СОПР			sopr	education, researches	birds,rares
Крылов Федор Федорович	заслуженный "Чистильщик рек"		krylov-fedor.jpeg	rivercleaners	activist	locals
Лебединский Андрей Артемьевич	заместитель координатора Нижегородского общества охраны амфибий и рептилий			reptiles	education,researches,publications	rares
Ляпаева Ольга Николаевна	руководитель Нижегородского фольклорного клуба			folks	education,researches	
Паутова Татьяна Валерьевна	руководитель Эколого-просветительского центра “Оберег"			obereg	law,education	urban
Малова Надежда Николаевна	менеджер проектов Центра природосберегающих технологий	Образование высшее. Закончила Горьковский Инженерно-строительный институт им. В. П. Чкалова, санитарно-технический факультет, по специальности инженер-строитель.  По окончании института работала в проектном институте «Сантехпроект».  С 1994 года работаю в экологическом центре «Дронт».  Являюсь индивидуальным членом Международного Социально-Экологического Союза с 1996 года.  С 1998 года работаю в подразделении Центр природосберегающих технологий (ЦПТ).  Основная деятельность ЦПТ заключается в реализации и поддержке экологических и энергосберегающих проектов, реализуемых самостоятельно (Нижегородская область) и в партнерстве с Фондом «Устойчивое развитие» (Центральные регионы, Северный Кавказ и Поволжье).  В 2007–2008 гг. прошла обучение по программе курсов фитодизайна в садово-парковом строительстве ННГУ им. Н. И. Лобачевского.  С 2007 года являюсь координатором социального проекта «Растения дарят здоровье детям».  В 2008 г. успешно прошла курс дистанционного обучения «Управление НКО: создаем доверительное отношение к организации» в «Центре развития некоммерческих организаций» г. Санкт-Петербурга.  С 2008 года принимаю активное участие в реализации конкурса на самый благоустроенный населенный пункт Нижегородской области, организуемый Министерством ЖКХи ТЭК.	malova-nadezhda.jpeg	sbereg-center	activist	resources
Мацына Александр Александрович	инженер-программист орнитологической лаборатории			ornotologlab	education, researches	birds,rares
Мацына Александр Иванович	зав. орнитологической лабораторией			ornotologlab	education, researches	birds,rares
Мацына Екатерина Леонидовна	старший научный сотрудник орнитологической лаборатории			ornotologlab	education, researches	birds,rares
Орлов Евгений Владимирович	директор ИКЦ "Стрикс"			striks	education, publications	
